IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2023-12-01,SPUL,14515743317.91924,13280198444.408083,1235544873.511158,4698475179.727372,3494495203.539211,-34156667.67686972,1238136643.865031,0,-7895556512.559542,2993096480.7749915,3836061880.307908,-14724714873.64244,0,-12594031692.286915,16840410821.961523,-6935710508.342944,0,23776121330.304466,-2582779231.408289,0,-3099648628.035036,-94435071.79164685,17552087117.723747,11775224186.488775,29390616132.443054,16379847072.44312,13010769059.999933
2024-01-01,SPUL,29390616132.44305,16379847072.44312,13010769059.999931,7466382405.036311,6494081759.465705,331038431.7853225,641262213.7852837,0,8706940484.679426,3010161907.938881,3183697441.6124797,2513081135.1280656,0,1240558079.643115,4489671304.831097,-2717360916.893402,0,7207032221.724499,-463629965.07714844,0,466336524.7190776,565468736.4759159,9269238125.202795,9837413421.32064,38761693029.04462,15913510547.724041,22848182481.32057
2024-02-01,SPUL,38761693029.04462,15913510547.724041,22848182481.32057,6216620365.672493,5490127983.892746,228434547.45106825,498057834.32867897,0,8704825257.572712,2868557705.291801,3205782509.382064,2630485042.898848,0,2488204891.900219,7218969335.356293,-2696426179.4673233,0,9915395514.823616,3632834012.582648,0,509356329.91474056,-270522392.86495936,-18437277467.299706,-14565609517.667276,23686727181.4626,15404154217.809301,8282572963.653297
2024-03-01,SPUL,23686727181.462597,15404154217.8093,8282572963.653298,6435908092.027163,5652830906.162914,255576332.7289232,527500853.13532495,0,8467276779.240971,2758390942.3908157,3097067578.8736825,2611818257.9764724,0,2031368687.213808,6246513867.421984,-3681888863.1767097,0,9928402730.598694,2422424033.3712935,0,-584821284.3030272,-67620970.71611148,-748942390.9218311,1021039387.4303238,25292587853.19595,15988975502.112328,9303612351.083622
2024-04-01,SPUL,25292587853.195946,15988975502.112328,9303612351.08362,5817222743.330194,5192065879.070768,216502226.4397761,408654637.8196499,0,7958975237.274884,2766302958.7938843,3027043614.673007,2165628663.807993,0,2141752493.9446898,3600467164.6146398,-1921786857.1082735,0,5522254021.722914,-51126914.90756178,0,1105256757.5647335,-404105213.3098241,-756935810.6174078,-106911181.27006018,24080419914.361153,14883718744.547594,9196701169.81356
2024-05-01,SPUL,24080419914.361153,14883718744.547594,9196701169.81356,5218015181.855119,4650755887.1714325,164527654.39031908,402731640.2933673,0,10501685828.304108,2723125991.1110315,3005479343.2682414,4773080493.924835,0,5283670646.448989,6326493025.985634,-1783027996.2842607,0,8109521022.269895,5881558338.05535,0,1222451346.9839807,-523915850.7376515,-4396940678.853948,2183153155.447732,25041121722.824905,13661267397.563614,11379854325.261293
2024-06-01,SPUL,25041121722.82491,13661267397.563614,11379854325.261295,5326313212.7200985,4679659871.448715,172473125.50812632,474180215.7632566,0,4670592244.5581875,2685459359.4601655,2954928616.367452,-969795731.2694299,0,-655720968.161911,5835164819.460273,-2254282719.634283,0,8089447539.094556,-460944124.52925587,0,700645896.7331691,-121182485.1383045,5790412098.951909,5908931386.017518,30249407212.109257,12960621500.830444,17288785711.278812
2024-07-01,SPUL,30249407212.109253,12960621500.830444,17288785711.27881,5695427134.498412,4997410224.535341,208948894.65697291,489068015.30609775,0,1863988843.2978525,2666436158.7934074,2907921277.965612,-3710368593.4611673,0,-3831438291.2005596,6426868831.35225,-2191421997.5773463,0,8618290828.929596,-2978926896.6073294,0,716499280.3882656,-155979947.3518576,3006356092.327729,587948528.7568078,30120856460.4778,12244122220.442179,17876734240.035618
2024-08-01,SPUL,30120856460.4778,12244122220.442179,17876734240.035618,6226119950.801893,5440242128.016169,260462982.18758562,525414840.59813917,0,447066924.33798695,2662523165.514984,2835612306.140312,-5051068547.317309,0,-5779053026.463906,9039848996.820225,-2457889406.4327826,0,11497738403.253008,-2237339501.298977,0,377722899.70752954,-187841021.49755552,3444179610.228346,1396721987.139343,31139855547.90961,11866399320.73465,19273456227.17496
2024-09-01,SPUL,31139855547.90961,11866399320.73465,19273456227.17496,6253004797.239756,5382567169.423166,262959023.86275318,607478603.9538369,0,5056859892.24684,2646539924.983594,2752976930.7956347,-342656963.53238857,0,-1196144904.992916,7567216326.295207,-3078571716.767872,0,10645788043.06308,971554565.5230627,0,-325594785.9722371,545709580.5108374,8317009908.821687,9508679268.88335,40974129602.7652,12191994106.706886,28782135496.05831
